Real time ,Mid-span strain
16:59:01,59
16:59:02,62
16:59:03,57
16:59:04,60
16:59:05,61
16:59:06,55
16:59:07,60
16:59:08,59
16:59:09,60
16:59:10,63
16:59:11,59
16:59:12,58
16:59:13,61
16:59:14,61
16:59:15,57
16:59:16,61
16:59:17,62
16:59:18,62
16:59:19,58
16:59:20,64
16:59:21,64
16:59:22,69
16:59:23,63
16:59:24,66
16:59:25,64
16:59:26,65
16:59:27,68
16:59:28,65
16:59:29,72
16:59:30,67
16:59:31,68
16:59:32,68
16:59:33,70
16:59:34,71
16:59:35,67
16:59:36,64
16:59:37,69
16:59:38,67
16:59:39,69
16:59:40,69
16:59:41,76
16:59:42,77
16:59:43,72
16:59:44,75
16:59:45,72
16:59:46,73
16:59:47,74
16:59:48,71
16:59:49,75
16:59:50,75
16:59:51,79
16:59:52,71
16:59:53,74
16:59:54,75
16:59:55,75
16:59:56,76
16:59:57,79
16:59:58,76
16:59:59,77
17:00:00,80
17:00:01,81
17:00:02,79
17:00:03,83
17:00:04,84
17:00:05,80
17:00:06,81
17:00:07,79
17:00:08,84
17:00:09,86
17:00:10,86
17:00:11,83
17:00:12,86
17:00:13,85
17:00:14,82
17:00:15,88
17:00:16,89
17:00:17,89
17:00:18,86
17:00:19,90
17:00:20,88
17:00:21,89
17:00:22,89
17:00:23,90
17:00:24,89
17:00:25,90
17:00:26,89
17:00:27,88
17:00:28,90
17:00:29,88
17:00:30,95
17:00:31,94
17:00:32,93
17:00:33,97
17:00:34,93
17:00:35,94
17:00:36,98
17:00:37,100
17:00:38,99
17:00:39,100
17:00:40,98
17:00:41,104
17:00:42,97
17:00:43,109
17:00:44,105
17:00:45,105
17:00:46,108
17:00:47,114
17:00:48,107
17:00:49,105
17:00:50,111
17:00:51,110
17:00:52,108
17:00:53,115
17:00:54,116
17:00:55,115
17:00:56,116
17:00:57,117
17:00:58,123
17:00:59,122
17:01:00,123
17:01:01,118
17:01:02,124
17:01:03,118
17:01:04,122
17:01:05,121
17:01:06,122
17:01:07,128
17:01:08,126
